Date/Time,Calories (cal),Total Carbs (g),Protein (g),Total Fat (g),Sugar (g),Fiber(g),Sugar Alcohols (g)
29-Apr-2023 08:15:00,10.0,2.0,0.0,0.0,0.0,0.0,NaN
29-Apr-2023 08:45:00,4.8,0.0,0.6,0.1,0.0,0.0,NaN
29-Apr-2023 08:45:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
29-Apr-2023 08:45:00,5.0,1.0,0.0,0.0,0.0,0.5,NaN
29-Apr-2023 09:30:00,NaN,407.0,2.0,25.5,NaN,0.4,0.0
29-Apr-2023 09:30:00,60.1,3.4,3.2,3.8,0.1,0.4,NaN
29-Apr-2023 09:45:00,4.8,0.0,0.6,0.1,0.0,0.0,NaN
29-Apr-2023 10:15:00,22.2,0.7,0.7,1.9,0.0,0.7,NaN
29-Apr-2023 10:15:00,120.0,3.0,24.0,1.5,1.0,NaN,NaN
29-Apr-2023 10:45:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
29-Apr-2023 11:00:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
29-Apr-2023 13:00:00,160.0,4.0,20.0,6.7,0.0,1.3,NaN
29-Apr-2023 13:00:00,180.0,4.0,8.0,14.0,0.0,0.0,NaN
29-Apr-2023 13:00:00,110.1,4.0,1.0,10.0,2.0,NaN,NaN
29-Apr-2023 14:00:00,8.0,1.6,0.6,0.1,0.6,1.0,NaN
29-Apr-2023 14:00:00,NaN,17.5,3.8,0.4,NaN,2.9,0.6
29-Apr-2023 13:45:00,4.8,0.0,0.6,0.1,0.0,0.0,NaN
29-Apr-2023 15:00:00,22.2,0.7,0.7,1.9,0.0,0.7,NaN
29-Apr-2023 15:00:00,120.0,3.0,24.0,1.5,1.0,NaN,NaN
29-Apr-2023 15:15:00,350.0,38.0,7.0,31.0,0.0,21.0,12.0
29-Apr-2023 15:45:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
29-Apr-2023 20:15:00,290.0,35.0,11.0,14.0,2.0,3.0,NaN
29-Apr-2023 20:15:00,1.0,454.3,132.8,62.9,NaN,2.5,5.9
30-Apr-2023 08:00:00,NaN,407.0,2.0,25.5,NaN,0.4,0.0
30-Apr-2023 08:00:00,43.3,0.3,4.0,2.7,0.0,0.3,NaN
30-Apr-2023 08:00:00,145.0,17.5,5.5,7.0,1.0,1.5,NaN
30-Apr-2023 08:45:00,0.0,0.0,0.0,0.0,0.0,0.0,NaN
30-Apr-2023 08:45:00,10.0,2.0,0.0,0.0,0.0,0.0,NaN
30-Apr-2023 10:30:00,4.8,0.0,0.6,0.1,0.0,0.0,NaN
30-Apr-2023 10:30:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
30-Apr-2023 10:30:00,5.0,1.0,0.0,0.0,0.0,0.5,NaN
30-Apr-2023 10:30:00,4.8,0.0,0.6,0.1,0.0,0.0,NaN
30-Apr-2023 10:30:00,22.2,0.7,0.7,1.9,0.0,0.7,NaN
30-Apr-2023 10:30:00,120.0,3.0,24.0,1.5,1.0,NaN,NaN
30-Apr-2023 13:57:00,NaN,990.0,31.8,66.9,NaN,5.4,1.0
30-Apr-2023 13:57:00,630.9,7.9,1.6,71.0,0.0,0.0,NaN
30-Apr-2023 13:57:00,270.0,27.9,3.0,16.9,0.4,2.2,NaN
30-Apr-2023 13:57:00,NaN,492.8,65.2,11.2,NaN,45.4,3.0
30-Apr-2023 16:30:00,2.0,592.0,210.6,64.8,NaN,32.4,32.4
30-Apr-2023 21:30:00,180.0,25.0,20.0,7.0,1.0,12.0,9.0
30-Apr-2023 21:30:00,190.0,22.0,21.0,9.0,1.0,12.0,6.0
01-May-2023 08:00:00,240.0,16.0,28.0,8.0,NaN,2.0,NaN
01-May-2023 08:00:00,22.2,0.7,0.7,1.9,0.0,0.7,NaN
01-May-2023 08:00:00,90.0,27.0,0.0,0.0,NaN,27.0,NaN
01-May-2023 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,NaN
01-May-2023 09:00:00,NaN,0.0,0.0,0.0,NaN,0.0,0.0
01-May-2023 09:00:00,0.0,0.0,0.0,0.0,NaN,NaN,NaN
01-May-2023 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,NaN
01-May-2023 10:15:00,4.8,0.0,0.6,0.1,0.0,0.0,NaN
01-May-2023 10:15:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
01-May-2023 10:15:00,5.0,1.0,0.0,0.0,0.0,0.5,NaN
01-May-2023 10:15:00,4.8,0.0,0.6,0.1,0.0,0.0,NaN
01-May-2023 10:15:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
01-May-2023 10:15:00,106.3,0.2,24.8,0.2,0.1,0.0,NaN
01-May-2023 12:15:00,180.0,25.0,20.0,7.0,1.0,12.0,9.0
01-May-2023 12:15:00,190.0,22.0,21.0,9.0,1.0,12.0,6.0
01-May-2023 12:30:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
01-May-2023 15:00:00,190.0,22.0,21.0,8.0,1.0,13.0,5.0
01-May-2023 20:30:00,118.3,0.0,0.0,13.8,NaN,NaN,NaN
01-May-2023 20:30:00,NaN,NaN,41.6,8.2,NaN,NaN,4.0
01-May-2023 20:45:00,223.2,0.0,43.5,5.5,0.0,0.0,NaN
02-May-2023 08:15:00,394.3,0.0,0.0,47.3,0.0,0.0,NaN
02-May-2023 08:15:00,125.0,8.0,26.0,1.0,1.0,7.0,NaN
02-May-2023 08:15:00,90.0,27.0,0.0,0.0,NaN,27.0,NaN
02-May-2023 08:15:00,0.0,0.0,0.0,0.0,0.0,0.0,NaN
02-May-2023 09:15:00,NaN,0.0,0.0,0.0,NaN,0.0,0.0
02-May-2023 09:15:00,5.0,1.0,0.0,0.0,0.0,0.0,NaN
02-May-2023 10:00:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
02-May-2023 10:00:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
02-May-2023 10:00:00,5.0,1.0,0.0,0.0,0.0,0.5,NaN
02-May-2023 10:15:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
02-May-2023 10:15:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
02-May-2023 10:15:00,106.3,0.2,24.8,0.2,0.1,0.0,NaN
02-May-2023 12:30:00,128.2,2.0,0.4,13.8,0.0,0.0,NaN
02-May-2023 12:30:00,32.4,2.9,3.4,0.7,0.5,1.9,NaN
02-May-2023 12:30:00,NaN,NaN,86.8,0.6,NaN,NaN,0.6
02-May-2023 12:30:00,180.0,0.0,35.0,4.5,0.0,0.0,NaN
02-May-2023 12:30:00,60.0,0.0,6.0,4.0,0.0,0.0,NaN
02-May-2023 12:45:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
02-May-2023 15:15:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
02-May-2023 15:15:00,106.3,0.2,24.8,0.2,0.1,0.0,NaN
02-May-2023 15:15:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
02-May-2023 21:00:00,59.1,0.0,0.0,6.9,NaN,NaN,NaN
02-May-2023 21:00:00,NaN,NaN,31.5,6.2,NaN,NaN,3.0
03-May-2023 08:00:00,132.0,9.0,26.0,1.0,1.0,7.0,NaN
03-May-2023 08:00:00,197.2,0.0,0.0,23.7,0.0,0.0,NaN
03-May-2023 08:00:00,29.6,1.0,1.0,2.5,0.0,1.0,NaN
03-May-2023 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,NaN
03-May-2023 08:15:00,90.0,27.0,0.0,0.0,NaN,27.0,NaN
03-May-2023 08:15:00,0.0,0.0,0.0,0.0,0.0,0.0,NaN
03-May-2023 09:00:00,NaN,0.0,0.0,0.0,NaN,0.0,0.0
03-May-2023 09:00:00,5.0,1.0,0.0,0.0,0.0,0.0,NaN
03-May-2023 09:30:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
03-May-2023 09:30:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
03-May-2023 09:30:00,5.0,1.0,0.0,0.0,0.0,0.5,NaN
03-May-2023 10:00:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
03-May-2023 10:00:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
03-May-2023 10:00:00,110.0,0.2,25.6,0.2,0.1,0.0,NaN
03-May-2023 12:15:00,256.3,3.9,0.8,27.6,0.0,0.0,NaN
03-May-2023 12:15:00,32.4,2.9,3.4,0.7,0.5,1.9,NaN
03-May-2023 12:15:00,NaN,NaN,86.8,0.6,NaN,NaN,0.6
03-May-2023 12:15:00,180.0,0.0,35.0,4.5,0.0,0.0,NaN
03-May-2023 12:15:00,60.0,0.0,6.0,4.0,0.0,0.0,NaN
03-May-2023 12:15:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
03-May-2023 15:00:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
03-May-2023 15:00:00,110.0,0.2,25.6,0.2,0.1,0.0,NaN
03-May-2023 15:00:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
03-May-2023 20:00:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
03-May-2023 20:15:00,120.0,0.0,26.0,1.0,NaN,NaN,NaN
03-May-2023 20:15:00,54.4,10.7,5.3,0.0,5.3,5.4,NaN
03-May-2023 20:15:00,10.0,1.0,1.0,0.0,NaN,NaN,NaN
04-May-2023 08:00:00,123.0,6.0,26.0,1.0,1.0,6.0,NaN
04-May-2023 08:00:00,197.2,0.0,0.0,23.7,0.0,0.0,NaN
04-May-2023 08:00:00,29.6,1.0,1.0,2.5,0.0,1.0,NaN
04-May-2023 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,NaN
04-May-2023 08:15:00,90.0,27.0,0.0,0.0,NaN,27.0,NaN
04-May-2023 08:15:00,0.0,0.0,0.0,0.0,0.0,0.0,NaN
04-May-2023 09:15:00,NaN,0.0,0.0,0.0,NaN,0.0,0.0
04-May-2023 09:15:00,5.0,1.0,0.0,0.0,0.0,0.0,NaN
04-May-2023 09:45:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
04-May-2023 09:45:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
04-May-2023 09:45:00,5.0,1.0,0.0,0.0,0.0,0.5,NaN
04-May-2023 10:00:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
04-May-2023 10:00:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
04-May-2023 10:00:00,106.3,0.2,24.8,0.2,0.1,0.0,NaN
04-May-2023 12:15:00,256.3,3.9,0.8,27.6,0.0,0.0,NaN
04-May-2023 12:15:00,32.4,2.9,3.4,0.7,0.5,1.9,NaN
04-May-2023 12:15:00,NaN,NaN,86.8,0.6,NaN,NaN,0.6
04-May-2023 12:15:00,180.0,0.0,35.0,4.5,0.0,0.0,NaN
04-May-2023 12:15:00,60.0,0.0,6.0,4.0,0.0,0.0,NaN
04-May-2023 12:15:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
04-May-2023 15:15:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
04-May-2023 15:15:00,106.3,0.2,24.8,0.2,0.1,0.0,NaN
04-May-2023 15:15:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
04-May-2023 18:30:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
04-May-2023 18:30:00,120.0,0.0,26.0,1.0,NaN,NaN,NaN
04-May-2023 18:30:00,54.4,10.7,5.3,0.0,5.3,5.4,NaN
04-May-2023 18:45:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
04-May-2023 18:45:00,5.0,1.0,0.0,0.0,0.0,0.5,NaN
04-May-2023 18:45:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
05-May-2023 08:15:00,90.0,27.0,0.0,0.0,NaN,27.0,NaN
05-May-2023 08:15:00,0.0,0.0,0.0,0.0,0.0,0.0,NaN
05-May-2023 08:15:00,154.3,8.6,4.3,14.6,0.9,3.4,4.3
05-May-2023 08:15:00,102.6,3.2,9.6,5.8,3.2,0.0,NaN
05-May-2023 09:15:00,NaN,0.0,0.0,0.0,NaN,0.0,0.0
05-May-2023 09:15:00,5.0,1.0,0.0,0.0,0.0,0.0,NaN
05-May-2023 09:30:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
05-May-2023 09:30:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
05-May-2023 09:30:00,5.0,1.0,0.0,0.0,0.0,0.5,NaN
05-May-2023 10:00:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
05-May-2023 10:00:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
05-May-2023 10:00:00,106.3,0.2,24.8,0.2,0.1,0.0,NaN
05-May-2023 12:15:00,256.3,3.9,0.8,27.6,0.0,0.0,NaN
05-May-2023 12:15:00,32.4,2.9,3.4,0.7,0.5,1.9,NaN
05-May-2023 12:15:00,NaN,NaN,86.8,0.6,NaN,NaN,0.6
05-May-2023 12:15:00,180.0,0.0,35.0,4.5,0.0,0.0,NaN
05-May-2023 12:15:00,60.0,0.0,6.0,4.0,0.0,0.0,NaN
05-May-2023 12:30:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
05-May-2023 15:00:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
05-May-2023 15:00:00,106.3,0.2,24.8,0.2,0.1,0.0,NaN
05-May-2023 15:00:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
05-May-2023 20:15:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
05-May-2023 20:15:00,240.0,0.0,52.0,2.0,NaN,NaN,NaN
05-May-2023 20:15:00,80.0,16.0,8.0,0.0,8.0,8.0,NaN
06-May-2023 09:00:00,90.0,27.0,0.0,0.0,NaN,27.0,NaN
06-May-2023 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,NaN
06-May-2023 09:00:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
06-May-2023 09:00:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
06-May-2023 09:00:00,5.0,1.0,0.0,0.0,0.0,0.5,NaN
06-May-2023 09:00:00,NaN,203.5,1.0,12.7,NaN,0.2,0.0
06-May-2023 09:00:00,105.0,0.0,10.5,7.0,0.0,0.0,NaN
06-May-2023 10:15:00,NaN,0.0,0.0,0.0,NaN,0.0,0.0
06-May-2023 10:15:00,5.0,1.0,0.0,0.0,0.0,0.0,NaN
06-May-2023 10:30:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
06-May-2023 10:30:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
06-May-2023 10:30:00,110.0,0.2,25.6,0.2,0.1,0.0,NaN
06-May-2023 12:45:00,NaN,203.5,1.0,12.7,NaN,0.2,0.0
06-May-2023 12:45:00,105.0,0.0,10.5,7.0,0.0,0.0,NaN
06-May-2023 13:00:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
06-May-2023 15:00:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
06-May-2023 15:00:00,106.3,0.2,24.8,0.2,0.1,0.0,NaN
06-May-2023 15:00:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
06-May-2023 18:45:00,NaN,60.0,5.4,3.3,NaN,1.0,1.4
06-May-2023 18:45:00,NaN,79.7,0.5,0.3,NaN,0.4,0.1
06-May-2023 18:45:00,8.4,0.0,1.2,0.4,0.0,0.0,NaN
06-May-2023 18:45:00,NaN,64.0,1.9,4.5,NaN,0.0,NaN
06-May-2023 19:00:00,NaN,NaN,73.1,0.0,NaN,NaN,0.0
06-May-2023 19:00:00,NaN,NaN,62.4,2.1,NaN,NaN,0.2
06-May-2023 19:00:00,120.6,16.2,6.2,5.3,4.0,6.8,NaN
06-May-2023 19:00:00,120.0,0.0,0.0,14.0,NaN,NaN,NaN
06-May-2023 20:00:00,255.0,38.2,3.8,9.0,25.5,0.8,NaN
06-May-2023 20:00:00,NaN,559.5,77.6,3.7,NaN,57.7,1.6
07-May-2023 09:30:00,90.0,27.0,0.0,0.0,NaN,27.0,NaN
07-May-2023 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,NaN
07-May-2023 09:30:00,169.7,9.4,4.7,16.0,0.9,3.8,4.7
07-May-2023 09:30:00,114.8,3.6,10.8,6.5,3.6,0.0,NaN
07-May-2023 09:45:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
07-May-2023 09:45:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
07-May-2023 09:45:00,5.0,1.0,0.0,0.0,0.0,0.5,NaN
07-May-2023 10:15:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
07-May-2023 10:15:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
07-May-2023 10:15:00,113.7,0.3,26.5,0.3,0.1,0.0,NaN
07-May-2023 11:30:00,NaN,0.0,0.0,0.0,NaN,0.0,0.0
